Model,Adversary,N,Improvement,Start,Best
ResNet,FGSM,10,0.71,90.60000000000001,91.24
ResNet,Vanilla,10,0.0,99.08,99.08
ResNet,PGD,10,0.33,89.32,89.61
SSP,FGSM,10,0.87,89.38000000000001,90.16
SSP,Vanilla,10,0.0,98.92999999999999,98.92999999999999
SSP,PGD,10,0.8,89.36,90.08
ResNet,FGSM,1,0.0,90.60000000000001,90.60000000000001
ResNet,Vanilla,1,0.64,99.06,99.7
ResNet,PGD,1,0.68,89.33,89.94
SSP,FGSM,1,0.25,89.39,89.62
SSP,Vanilla,1,0.78,98.94,99.72
SSP,PGD,1,0.47,89.37,89.79
ResNet,FGSM,2,0.0,90.60000000000001,90.60000000000001
ResNet,Vanilla,2,0.61,99.06,99.66000000000001
ResNet,PGD,2,0.56,89.33,89.84
SSP,FGSM,2,0.23,89.38000000000001,89.59
SSP,Vanilla,2,0.75,98.94,99.68
SSP,PGD,2,0.39,89.37,89.72
ResNet,FGSM,3,0.18,90.60000000000001,90.75999999999999
ResNet,Vanilla,3,0.53,99.07000000000001,99.6
ResNet,PGD,3,0.49,89.33,89.77000000000001
SSP,FGSM,3,0.25,89.39,89.62
SSP,Vanilla,3,0.68,98.94,99.61
SSP,PGD,3,0.34,89.36,89.66
ResNet,FGSM,4,0.0,90.59,90.59
ResNet,Vanilla,4,0.45,99.06,99.51
ResNet,PGD,4,0.51,89.33,89.78
SSP,FGSM,4,0.57,89.38000000000001,89.89
SSP,Vanilla,4,0.63,98.92,99.53999999999999
SSP,PGD,4,0.37,89.35,89.69
ResNet,FGSM,5,0.24,90.59,90.82000000000001
ResNet,Vanilla,5,0.35,99.06,99.41
ResNet,PGD,5,0.5,89.33,89.77000000000001
SSP,FGSM,5,0.56,89.38000000000001,89.88000000000001
SSP,Vanilla,5,0.55,98.92,99.46000000000001
SSP,PGD,5,0.38,89.36,89.71000000000001
ResNet,FGSM,6,0.75,90.60000000000001,91.28
ResNet,Vanilla,6,0.24,99.07000000000001,99.3
ResNet,PGD,6,0.49,89.32,89.75999999999999
SSP,FGSM,6,0.94,89.39,90.22
SSP,Vanilla,6,0.44,98.92,99.36
SSP,PGD,6,0.44,89.36,89.75
ResNet,FGSM,7,0.62,90.60000000000001,91.16
ResNet,Vanilla,7,0.12,99.08,99.19
ResNet,PGD,7,0.49,89.33,89.75999999999999
SSP,FGSM,7,1.0,89.38000000000001,90.27
SSP,Vanilla,7,0.33,98.92999999999999,99.25
SSP,PGD,7,0.25,89.36,89.58
ResNet,FGSM,8,0.82,90.60000000000001,91.35
ResNet,Vanilla,8,0.0,99.08,99.08
ResNet,PGD,8,0.53,89.32,89.8
SSP,FGSM,8,0.91,89.37,90.18
SSP,Vanilla,8,0.21,98.92999999999999,99.14
SSP,PGD,8,0.42,89.35,89.73
ResNet,FGSM,9,0.68,90.59,91.2
ResNet,Vanilla,9,0.0,99.07000000000001,99.07000000000001
ResNet,PGD,9,0.32,89.32,89.61
SSP,FGSM,9,0.78,89.38000000000001,90.07
SSP,Vanilla,9,0.11,98.92,99.03999999999999
SSP,PGD,9,0.74,89.36,90.02
